Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name
"Dec 18, 2024",466.50,488.54,427.01,440.13,440.13,"149,340,800",TSLA,"Tesla, Inc."
"Dec 17, 2024",475.90,483.99,457.51,479.86,479.86,"131,223,000",TSLA,"Tesla, Inc."
"Dec 16, 2024",441.09,463.19,436.15,463.02,463.02,"114,083,800",TSLA,"Tesla, Inc."
"Dec 13, 2024",420.00,436.30,415.71,436.23,436.23,"89,000,200",TSLA,"Tesla, Inc."
"Dec 12, 2024",424.84,429.30,415.00,418.10,418.10,"87,752,200",TSLA,"Tesla, Inc."
"Dec 11, 2024",409.70,424.88,402.38,424.77,424.77,"104,287,600",TSLA,"Tesla, Inc."
"Dec 10, 2024",392.68,409.73,390.85,400.99,400.99,"97,563,600",TSLA,"Tesla, Inc."
"Dec 9, 2024",397.61,404.80,378.01,389.79,389.79,"96,359,200",TSLA,"Tesla, Inc."
"Dec 6, 2024",377.42,389.49,370.80,389.22,389.22,"81,455,800",TSLA,"Tesla, Inc."
"Dec 5, 2024",359.87,375.43,359.50,369.49,369.49,"81,403,600",TSLA,"Tesla, Inc."
"Dec 4, 2024",353.00,358.10,348.60,357.93,357.93,"50,810,900",TSLA,"Tesla, Inc."
"Dec 3, 2024",351.80,355.69,348.20,351.42,351.42,"58,267,200",TSLA,"Tesla, Inc."
"Dec 2, 2024",352.38,360.00,351.15,357.09,357.09,"77,986,500",TSLA,"Tesla, Inc."
"Nov 29, 2024",336.08,345.45,334.65,345.16,345.16,"37,167,600",TSLA,"Tesla, Inc."
"Nov 27, 2024",341.80,342.55,326.59,332.89,332.89,"57,896,400",TSLA,"Tesla, Inc."
"Nov 26, 2024",341.00,346.96,335.66,338.23,338.23,"62,295,900",TSLA,"Tesla, Inc."
"Nov 25, 2024",360.14,361.93,338.20,338.59,338.59,"95,890,900",TSLA,"Tesla, Inc."
"Nov 22, 2024",341.09,361.53,337.70,352.56,352.56,"89,140,700",TSLA,"Tesla, Inc."
"Nov 21, 2024",343.81,347.99,335.28,339.64,339.64,"58,011,700",TSLA,"Tesla, Inc."
"Nov 20, 2024",345.00,346.60,334.30,342.03,342.03,"66,340,700",TSLA,"Tesla, Inc."
"Nov 19, 2024",335.76,347.38,332.75,346.00,346.00,"88,852,500",TSLA,"Tesla, Inc."
"Nov 18, 2024",340.73,348.55,330.01,338.74,338.74,"126,547,500",TSLA,"Tesla, Inc."
"Nov 15, 2024",310.57,324.68,309.22,320.72,320.72,"114,440,300",TSLA,"Tesla, Inc."
"Nov 14, 2024",327.69,329.98,310.37,311.18,311.18,"120,726,100",TSLA,"Tesla, Inc."
"Nov 13, 2024",335.85,344.60,322.50,330.24,330.24,"125,405,600",TSLA,"Tesla, Inc."
"Nov 12, 2024",342.74,345.84,323.31,328.49,328.49,"155,726,000",TSLA,"Tesla, Inc."
"Nov 11, 2024",346.30,358.64,336.00,350.00,350.00,"210,521,600",TSLA,"Tesla, Inc."
"Nov 8, 2024",299.14,328.71,297.66,321.22,321.22,"204,782,800",TSLA,"Tesla, Inc."
"Nov 7, 2024",288.89,299.75,285.52,296.91,296.91,"117,309,200",TSLA,"Tesla, Inc."
"Nov 6, 2024",284.67,289.59,275.62,288.53,288.53,"165,228,700",TSLA,"Tesla, Inc."
"Nov 5, 2024",247.34,255.28,246.21,251.44,251.44,"69,282,500",TSLA,"Tesla, Inc."
"Nov 4, 2024",244.56,248.90,238.88,242.84,242.84,"68,802,400",TSLA,"Tesla, Inc."
"Nov 1, 2024",252.04,254.00,246.63,248.98,248.98,"57,544,800",TSLA,"Tesla, Inc."
"Oct 31, 2024",257.99,259.75,249.25,249.85,249.85,"66,575,300",TSLA,"Tesla, Inc."
"Oct 30, 2024",258.04,263.35,255.82,257.55,257.55,"53,993,600",TSLA,"Tesla, Inc."
"Oct 29, 2024",264.51,264.98,255.51,259.52,259.52,"80,521,800",TSLA,"Tesla, Inc."
"Oct 28, 2024",270.00,273.54,262.24,262.51,262.51,"107,653,600",TSLA,"Tesla, Inc."
"Oct 25, 2024",256.01,269.49,255.32,269.19,269.19,"161,611,900",TSLA,"Tesla, Inc."
"Oct 24, 2024",244.68,262.12,242.65,260.48,260.48,"204,491,900",TSLA,"Tesla, Inc."
"Oct 23, 2024",217.13,218.72,212.11,213.65,213.65,"80,938,900",TSLA,"Tesla, Inc."
"Oct 22, 2024",217.31,218.22,215.26,217.97,217.97,"43,268,700",TSLA,"Tesla, Inc."
