Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name
"Dec 5, 2024",617.08,619.90,607.05,608.93,608.44,"8,081,200",META,"Meta Platforms, Inc."
"Dec 4, 2024",612.96,617.78,605.10,613.78,613.29,"14,697,000",META,"Meta Platforms, Inc."
"Dec 3, 2024",595.00,614.20,591.25,613.65,613.16,"14,907,200",META,"Meta Platforms, Inc."
"Dec 2, 2024",577.50,594.50,575.57,592.83,592.35,"12,522,400",META,"Meta Platforms, Inc."
"Nov 29, 2024",569.00,578.46,566.90,574.32,573.86,"7,130,500",META,"Meta Platforms, Inc."
"Nov 27, 2024",574.89,574.98,564.10,569.20,568.74,"7,200,200",META,"Meta Platforms, Inc."
"Nov 26, 2024",566.00,577.50,565.20,573.54,573.08,"10,356,600",META,"Meta Platforms, Inc."
"Nov 25, 2024",562.10,572.59,556.39,565.11,564.65,"13,599,800",META,"Meta Platforms, Inc."
"Nov 22, 2024",563.55,563.83,554.59,559.14,558.69,"9,164,000",META,"Meta Platforms, Inc."
"Nov 21, 2024",569.52,570.00,549.05,563.09,562.64,"11,154,700",META,"Meta Platforms, Inc."
"Nov 20, 2024",562.93,566.35,554.20,565.52,565.06,"9,797,300",META,"Meta Platforms, Inc."
"Nov 19, 2024",551.86,561.43,550.60,561.09,560.64,"9,522,400",META,"Meta Platforms, Inc."
"Nov 18, 2024",557.04,559.90,550.09,554.40,553.95,"14,346,700",META,"Meta Platforms, Inc."
"Nov 15, 2024",571.22,572.57,551.50,554.08,553.63,"17,712,900",META,"Meta Platforms, Inc."
"Nov 14, 2024",577.00,580.76,573.01,577.16,576.69,"11,053,700",META,"Meta Platforms, Inc."
"Nov 13, 2024",582.61,585.64,575.17,580.00,579.53,"10,757,600",META,"Meta Platforms, Inc."
"Nov 12, 2024",588.54,599.66,580.38,584.82,584.35,"16,287,700",META,"Meta Platforms, Inc."
"Nov 11, 2024",586.36,587.00,576.51,583.17,582.70,"10,209,100",META,"Meta Platforms, Inc."
"Nov 8, 2024",591.54,593.10,584.52,589.34,588.87,"9,415,700",META,"Meta Platforms, Inc."
"Nov 7, 2024",576.89,594.80,575.21,591.70,591.22,"14,653,700",META,"Meta Platforms, Inc."
"Nov 6, 2024",562.75,573.00,555.17,572.05,571.59,"18,305,400",META,"Meta Platforms, Inc."
"Nov 5, 2024",567.30,573.48,566.67,572.43,571.97,"9,775,400",META,"Meta Platforms, Inc."
"Nov 4, 2024",564.10,568.69,557.89,560.68,560.23,"12,064,600",META,"Meta Platforms, Inc."
"Nov 1, 2024",567.61,573.67,562.56,567.16,566.70,"15,303,200",META,"Meta Platforms, Inc."
"Oct 31, 2024",585.00,589.90,563.01,567.58,567.12,"26,838,400",META,"Meta Platforms, Inc."
"Oct 30, 2024",600.98,601.20,589.38,591.80,591.32,"26,864,900",META,"Meta Platforms, Inc."
"Oct 29, 2024",580.15,593.67,575.40,593.28,592.80,"13,019,100",META,"Meta Platforms, Inc."
"Oct 28, 2024",582.00,583.75,574.12,578.16,577.69,"10,925,100",META,"Meta Platforms, Inc."
"Oct 25, 2024",573.93,581.29,571.72,573.25,572.79,"11,337,900",META,"Meta Platforms, Inc."
"Oct 24, 2024",567.13,568.88,561.52,567.78,567.32,"7,184,700",META,"Meta Platforms, Inc."
"Oct 23, 2024",579.97,585.00,562.50,563.69,563.24,"14,248,400",META,"Meta Platforms, Inc."
"Oct 22, 2024",574.29,583.53,572.12,582.01,581.54,"8,544,500",META,"Meta Platforms, Inc."
"Oct 21, 2024",576.03,577.24,569.11,575.16,574.70,"8,171,900",META,"Meta Platforms, Inc."
"Oct 18, 2024",581.10,583.97,575.25,576.47,576.01,"7,694,300",META,"Meta Platforms, Inc."
"Oct 17, 2024",583.33,584.97,575.20,576.93,576.47,"8,701,200",META,"Meta Platforms, Inc."
"Oct 16, 2024",581.40,582.08,574.03,576.79,576.33,"11,268,400",META,"Meta Platforms, Inc."
"Oct 15, 2024",590.16,590.61,580.14,586.27,585.80,"9,564,200",META,"Meta Platforms, Inc."
"Oct 14, 2024",594.22,600.10,589.96,590.42,589.94,"8,252,000",META,"Meta Platforms, Inc."
"Oct 11, 2024",584.83,591.21,582.71,589.95,589.47,"8,587,100",META,"Meta Platforms, Inc."
"Oct 10, 2024",587.57,590.23,582.52,583.83,583.36,"7,740,400",META,"Meta Platforms, Inc."
"Oct 9, 2024",593.99,594.39,581.61,590.51,590.03,"9,529,700",META,"Meta Platforms, Inc."
"Oct 8, 2024",589.69,593.56,585.97,592.89,592.41,"7,857,400",META,"Meta Platforms, Inc."
"Oct 7, 2024",598.22,602.95,584.04,584.78,584.31,"12,014,200",META,"Meta Platforms, Inc."
"Oct 4, 2024",583.73,596.85,581.43,595.94,595.46,"14,169,500",META,"Meta Platforms, Inc."
"Oct 3, 2024",570.15,583.36,568.73,582.77,582.30,"11,581,000",META,"Meta Platforms, Inc."
"Oct 2, 2024",574.86,576.00,569.34,572.81,572.35,"6,524,700",META,"Meta Platforms, Inc."
"Oct 1, 2024",577.98,583.04,570.10,576.47,576.01,"15,259,300",META,"Meta Platforms, Inc."
"Sep 30, 2024",567.70,574.68,564.80,572.44,571.98,"12,792,300",META,"Meta Platforms, Inc."
"Sep 27, 2024",570.10,570.84,564.51,567.36,566.90,"9,398,400",META,"Meta Platforms, Inc."
"Sep 26, 2024",575.73,577.40,562.35,567.84,567.38,"14,400,800",META,"Meta Platforms, Inc."
"Sep 25, 2024",564.05,576.88,563.72,568.31,567.85,"16,543,400",META,"Meta Platforms, Inc."
"Sep 24, 2024",566.68,567.75,554.19,563.33,562.88,"12,993,000",META,"Meta Platforms, Inc."
"Sep 23, 2024",569.50,573.98,562.41,564.41,563.96,"12,830,700",META,"Meta Platforms, Inc."
"Sep 20, 2024",560.00,564.50,556.30,561.35,560.90,"22,066,800",META,"Meta Platforms, Inc."
"Sep 19, 2024",550.00,562.07,546.52,559.10,558.65,"15,647,000",META,"Meta Platforms, Inc."
"Sep 18, 2024",537.07,544.20,533.90,537.95,537.52,"10,323,500",META,"Meta Platforms, Inc."
"Sep 17, 2024",537.60,542.10,530.57,536.32,535.89,"11,690,800",META,"Meta Platforms, Inc."
"Sep 16, 2024",0.50 Dividend,,,,,,META,"Meta Platforms, Inc."
"Sep 16, 2024",524.54,534.10,517.40,533.28,532.85,"9,527,600",META,"Meta Platforms, Inc."
