Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name,MA7,MA20,RSI,MACD,Signal_Line,20SD,upper_band,lower_band
2024-01-02,17.64,17.64,17.27,17.45,17.45,112600.0,DJT,Trump Media & Technology Group Corp.,17.45,17.45,,0.0,0.0,,,
2024-01-02,351.32,353.16,340.01,346.29,344.97,19042200.0,META,"Meta Platforms, Inc.",181.87,181.87,100.0,26.232250712250725,5.246450142450145,232.5249939253843,646.9199878507686,-283.1799878507686
2024-01-02,250.08,251.25,244.41,248.42,248.42,104654200.0,TSLA,"Tesla, Inc.",204.0533333333333,204.0533333333333,77.06404818260646,38.67834741601125,11.932829597162367,168.84974750746102,541.7528283482553,-133.64616168158872
2024-01-03,344.98,347.95,343.18,344.47,343.16,15451100.0,META,"Meta Platforms, Inc.",239.1575,239.1575,81.27821562476089,55.6508921563819,20.676442109006274,154.71274960928938,548.5829992185787,-70.26799921857875
2024-01-03,244.98,245.68,236.32,238.45,238.45,121082600.0,TSLA,"Tesla, Inc.",239.016,239.016,67.57371417665956,59.856835845773375,28.512520856359696,133.98554504124692,506.98709008249386,-28.955090082493854
2024-01-03,17.57,17.57,17.35,17.44,17.44,73100.0,DJT,Trump Media & Technology Group Corp.,202.08666666666667,202.08666666666667,49.99941161934125,44.83953433921941,31.777923552931643,150.1477771619236,502.38222099051393,-98.20888765718055
2024-01-04,239.25,242.7,237.73,237.93,237.93,102629300.0,TSLA,"Tesla, Inc.",207.20714285714286,207.20714285714286,60.30010838285308,50.151796300304255,35.45269810240617,137.7334288537446,482.6740005646321,-68.25971485034637
2024-01-04,17.54,17.54,17.27,17.35,17.35,70600.0,DJT,Trump Media & Technology Group Corp.,207.19285714285712,183.475,49.99612661326558,36.14616910399974,35.591392302724884,144.10462587994877,471.6842517598975,-104.73425175989755
2024-01-04,344.50,348.15,343.4,347.12,345.8,12099900.0,META,"Meta Platforms, Inc.",207.3114285714286,201.6577777777778,60.17104459376909,51.06761595471272,38.68663703312245,145.41628509023482,492.4903479582474,-89.17479240269185
2024-01-05,236.86,240.12,234.9,237.49,237.49,92379400.0,TSLA,"Tesla, Inc.",205.75,205.24099999999999,56.3585819472218,53.43082797786717,41.6354752220714,137.56724460342215,480.3754892068443,-69.89348920684432
2024-01-05,346.99,353.5,346.26,351.95,350.61,13920700.0,META,"Meta Platforms, Inc.",206.81857142857143,218.57818181818183,59.066416583546555,63.80416129540566,46.069212436738255,137.8004234984916,494.179028815165,-57.02266517880136
2024-01-05,17.30,17.5,17.2,17.23,17.23,89800.0,DJT,Trump Media & Technology Group Corp.,175.21571428571428,201.79916666666668,49.99495283192013,44.502993253073655,45.75596860000534,143.67015040510066,489.139467476868,-85.54113414353463
2024-01-08,17.20,17.41,17.0,17.24,17.24,139700.0,DJT,Trump Media & Technology Group Corp.,175.18714285714285,187.60230769230768,49.99518227075639,28.874636601638883,42.37970220033205,146.76913811344707,481.14058391920184,-105.93596853458646
2024-01-08,354.70,358.98,352.05,358.66,357.3,13890200.0,META,"Meta Platforms, Inc.",192.43428571428572,199.82071428571427,56.76770321357309,43.53692541773259,42.61114684381216,148.2370348443686,496.29478397445143,-96.65335540302291
2024-01-08,236.14,241.25,235.3,240.45,240.45,85166600.0,TSLA,"Tesla, Inc.",224.3057142857143,202.52933333333334,54.224957182048286,45.09846878740447,43.10861123253062,143.22946875888488,488.9882708511031,-83.92960418443641
2024-01-09,356.40,360.64,355.36,357.43,356.07,13463900.0,META,"Meta Platforms, Inc.",225.7785714285714,212.210625,50.22948064040342,55.139695429883574,45.51482807200121,143.68950508967825,499.5896351793565,-75.1683851793565
