Date,Ticker,Stock Name,Open,High,Low,Close,Volume
2024-01-02,AAPL,Apple,186.23761848029775,187.52133810124718,182.9935167810597,184.7349853515625,82488700
2024-01-02,MC.PA,LVMH,726.2300500302558,726.720746010006,705.3264132727808,709.54638671875,271775
2024-01-02,NVDA,NVIDIA,49.23004169676173,49.281025929370266,47.58151083051483,48.15434646606445,411254000
2024-01-02,TSLA,Tesla,250.0800018310547,251.25,244.41000366210938,248.4199981689453,104654200
2024-01-03,AAPL,Apple,183.32189307602442,184.973803899141,182.53573597559208,183.35174560546875,58414500
2024-01-03,MC.PA,LVMH,704.6395202710613,706.9948852456628,679.9084276354243,682.4600830078125,422816
2024-01-03,NVDA,NVIDIA,47.47154327586198,48.17034267627387,47.30658912189055,47.555519104003906,320896000
2024-01-03,TSLA,Tesla,244.97999572753906,245.67999267578125,236.32000732421875,238.4499969482422,121082600
2024-01-04,AAPL,Apple,181.26198308479132,182.19740286158623,179.99818547387906,181.02316284179688,71983600
2024-01-04,MC.PA,LVMH,680.5953947670531,687.9558352295663,680.4972795206534,684.8153686523438,307568
2024-01-04,NVDA,NVIDIA,47.753460549538744,48.48625451702809,47.494535082082315,47.984397888183594,306535000
2024-01-04,TSLA,Tesla,239.25,242.6999969482422,237.72999572753906,237.92999267578125,102629300
2024-01-05,AAPL,Apple,181.10277101042314,181.8690061871609,179.29163655398915,180.2967071533203,62303300
2024-01-05,MC.PA,LVMH,677.84748732705,681.1841842905137,667.9353918810932,676.0809936523438,346418
2024-01-05,NVDA,NVIDIA,48.44826200298403,49.53295347185659,48.29230418752573,49.08308029174805,415039000
2024-01-05,TSLA,Tesla,236.86000061035156,240.1199951171875,234.89999389648438,237.49000549316406,92379400
2024-01-08,AAPL,Apple,181.20228054123743,184.6951784875532,180.6151605231867,184.65536499023438,59144500
2024-01-08,MC.PA,LVMH,674.7070016675409,678.436279296875,666.463284887401,678.436279296875,337785
2024-01-08,NVDA,NVIDIA,49.49796557499239,52.2601828190254,49.46497398392272,52.23818588256836,642510000
